BPI RK,TEAM,CONF,BPI,PVA,CONF RK,W-L,RAW,RAW RK,SOS,SOS RK,VAR,VAR RK
1,Kentucky,SEC,95.2,23.7,1,32-0,86.5,1,58.8,83,3.8,351
2,Wisconsin,Big Ten,91.4,18.7,1,29-3,81.3,4,60.1,73,8.2,343
3,Virginia,ACC,91,18.3,1,29-3,79.7,6,61.3,69,8.1,346
4,Arizona,Pac-12,90.8,18.1,1,30-3,82.1,3,58.8,82,8.2,345
5,Gonzaga,WCC,90.5,17.8,1,32-2,84.2,2,56.3,99,6.1,349
6,Villanova,Big East,90,17.4,1,31-2,80.1,5,59.9,74,9.1,342
7,Duke,ACC,87.8,15.6,2,29-4,75.8,10,62,64,11.5,333
8,Kansas,Big 12,86.8,14.9,1,26-7,65.6,44,71.2,2,11.3,335
9,North Carolina,ACC,84.3,13.3,3,24-10,65.8,42,68.6,5,13.9,317
10,Notre Dame,ACC,83.9,13,4,28-5,72.8,13,61.1,70,10.9,336
11,Oklahoma,Big 12,83.5,12.8,2,22-10,66.8,31,66.7,14,13.5,320
12,Utah,Pac-12,83.5,12.8,2,24-8,74.3,11,59.2,79,14.2,315
13,Wichita State,MVC,83.4,12.8,1,28-4,77.6,9,55.8,103,11.4,334
14,Northern Iowa,MVC,83.3,12.7,2,30-3,78,8,55.3,107,9.8,341
15,Iowa State,Big 12,83,12.5,3,24-8,65.3,46,67.7,9,13.1,323
16,Louisville,ACC,82.4,12.2,5,24-8,65.8,41,66.6,15,11.8,331
17,Ohio State,Big Ten,82.3,12.2,2,23-10,68.9,21,63.4,55,12.9,324
18,Michigan State,Big Ten,81.3,11.6,3,22-10,66.7,33,64.6,43,14.6,310
19,Baylor,Big 12,81.2,11.6,4,24-9,66.1,36,65.1,31,16.4,268
20,Georgetown,Big East,80.1,11,2,21-10,61.3,74,68.9,4,12.9,326
21,Arkansas,SEC,80.1,11,2,25-7,65.9,39,64.2,49,12.6,327
22,West Virginia,Big 12,79.5,10.7,5,23-9,63.9,52,65.6,24,16,278
23,Butler,Big East,79.5,10.7,3,22-10,63.1,61,66.4,16,13.9,316
24,Texas,Big 12,78.8,10.4,6,20-13,61.3,73,67.5,11,14.8,307
25,Maryland,Big Ten,78.5,10.2,4,27-5,63.5,56,65,32,14.9,306
26,Xavier,Big East,78.3,10.2,4,21-12,62.6,64,65.7,22,17.2,244
27,Georgia,SEC,78.3,10.2,3,21-10,60,86,68.3,6,12.9,325
28,SMU,American,78.3,10.2,1,25-6,70.3,18,58,89,13.9,318
