Rank,Team,BPI,PVA
1,Kentucky,95.2,23.7
2,Wisconsin,91.4,18.7
3,Virginia,91,18.3
4,Arizona,90.8,18.1
5,Gonzaga,90.5,17.8
6,Villanova,90,17.4
7,Duke,87.8,15.6
8,Kansas,86.8,14.9
9,North Carolina,84.3,13.3
10,Notre Dame,83.9,13
11,Oklahoma,83.5,12.8
12,Utah,83.5,12.8
13,Wichita State,83.4,12.8
14,Northern Iowa,83.3,12.7
15,Iowa State,83,12.5
16,Louisville,82.4,12.2
17,Ohio State,82.3,12.2
18,Michigan State,81.3,11.6
19,Baylor,81.2,11.6
20,Georgetown,80.1,11
21,Arkansas,80.1,11
22,West Virginia,79.5,10.7
23,Butler,79.5,10.7
24,Texas,78.8,10.4
25,Maryland,78.5,10.2
26,Xavier,78.3,10.2
27,Georgia,78.3,10.2
28,SMU,78.3,10.2
29,Davidson,78.2,10.1
30,VCU,77.5,9.8
31,BYU,77.4,9.7
32,Providence,76.6,9.4
33,Dayton,76.6,9.4
34,Ole Miss,75.6,8.9
35,Florida,75.6,8.9
36,Purdue,75.5,8.9
37,Iowa,75.5,8.9
38,NC State,74.9,8.7
39,Vanderbilt,74.8,8.6
40,Texas A&M,74.6,8.5
41,San Diego State,74.4,8.5
42,LSU,74.1,8.3
43,Oregon,74,8.3
44,Miami (FL),73.2,8
45,UCLA,73.2,7.9
46,Rhode Island,73.1,7.9
47,Indiana,73.1,7.9
48,Cincinnati,73.1,7.9
49,Oklahoma St,73,7.9
50,Stanford,72.5,7.7
51,St. John's,72.4,7.6
52,Minnesota,72.2,7.6
53,Boise State,71.3,7.2
54,SF Austin,71.3,7.2
55,Illinois,71.3,7.2
56,Colorado State,71.2,7.2
57,Buffalo,70.9,7
58,TCU,70.6,6.9
59,Richmond,70.5,6.9
60,Old Dominion,70.5,6.9
61,Syracuse,70.3,6.8
62,Alabama,70.1,6.8
63,Connecticut,69.9,6.7
64,Temple,69.6,6.6
65,Saint Mary's,69.4,6.5
66,Illinois State,69.2,6.4
67,South Carolina,68.6,6.2
68,Arizona State,68,6
69,Murray State,68,6
70,G. Washington,67.9,5.9
71,Green Bay,67.8,5.9
72,Valparaiso,67.8,5.9
73,Kansas St,66.6,5.5
74,Michigan,66.6,5.4
75,Louisiana Tech,66.3,5.4
76,Georgia Tech,66.2,5.3
77,Seton Hall,66.2,5.3
78,Yale,66.1,5.3
79,Tulsa,66.1,5.3
80,Cent Michigan,65.8,5.2
81,Georgia State,65.8,5.2
82,UTEP,65.2,5
83,Harvard,65.2,5
84,Penn State,65.1,4.9
85,Tennessee,65,4.9
86,Toledo,64.9,4.9
87,Pittsburgh,64.9,4.8
88,Florida St,64.8,4.8
89,Clemson,64.7,4.8
90,Creighton,64.6,4.8
91,Memphis,64.3,4.7
92,Wofford,64.2,4.6
93,Sam Houston,64,4.6
94,Colorado,63.6,4.4
95,La Salle,63.6,4.4
96,UNLV,63,4.2
97,Bowling Green,62.8,4.1
98,Marquette,62.3,4
99,Akron,62.2,3.9
100,UC Santa Barbara,61.9,3.9
101,Washington,61.7,3.8
102,California,61.6,3.7
103,New Mexico St,61.5,3.7
104,Iona,61.5,3.7
105,UC Irvine,61.5,3.7
106,Wyoming,61.4,3.7
107,St. Bonaventure,61.2,3.6
108,Evansville,61.2,3.6
109,UC Davis,61,3.5
110,Nebraska,60.7,3.4
111,Massachusetts,60.6,3.4
112,Pepperdine,60.4,3.3
113,Cleveland State,60.4,3.3
114,Oregon State,60.3,3.3
115,Boston College,60.2,3.3
116,Wake Forest,60.1,3.3
117,Northwestern,59.7,3.1
118,Kent State,59.5,3.1
119,Hawaii,59.5,3
120,San Diego,59.5,3
121,South Dakota St,58.8,2.8
122,William & Mary,58.7,2.8
123,Northeastern,58.5,2.7
124,Hofstra,58.3,2.7
125,N Carolina Cent,58.2,2.6
126,Coast Carolina,57.5,2.4
127,Utah State,57.3,2.3
128,Albany,57,2.2
129,Auburn,56.8,2.2
130,High Point,56.6,2.1
131,W Kentucky,56.6,2.1
132,North Florida,56.5,2.1
133,W Michigan,56.3,2
134,E Michigan,55.9,1.9
135,Vermont,55.9,1.9
136,Chattanooga,55.8,1.8
137,Portland,55.6,1.8
