Ranking,School,2014 Win Pct,2013 Win Pct
1,Kentucky,1,1
2,Gonzaga,0.938,0.941
3,Villanova,0.935,0.875
4,Virginia,0.933,0.929
5,N Iowa,0.909,0.833
6,Arizona,0.903,0.786
7,Wisconsin,0.903,0.867
8,Duke,0.903,0.867
9,Wichita St,0.871,0.765
10,Ste F Austin,0.857,0.8
11,Notre Dame,0.839,0.75
12,Maryland,0.839,0.667
13,Murray St,0.833,0.765
14,Colorado St,0.833,0.733
15,Valparaiso,0.828,0.778
16,UC Davis,0.815,0.667
17,Wofford,0.812,0.75
18,Old Dominion,0.8,0.538
19,S Methodist,0.793,0.667
20,Davidson,0.786,0.643
21,NC Central,0.778,0.647
22,Kansas,0.774,0.562
23,Louisville,0.774,0.75
24,Arkansas,0.774,0.583
25,LA Tech,0.767,0.533
26,San Diego St,0.767,0.571
27,Dayton,0.767,0.5
28,Iona,0.765,0.619
29,Boise State,0.759,0.647
30,Utah,0.759,0.538
31,WI-Grn Bay,0.759,0.647
32,Albany,0.742,0.706
33,W Virginia,0.742,0.688
34,BYU,0.742,0.688
35,Sam Hous St,0.741,0.6
36,Iowa State,0.733,0.5
37,Oregon,0.733,0.5
38,Baylor,0.733,0.538
39,Central Mich,0.731,0.5
40,Harvard,0.731,0.643
41,Tulsa,0.724,0.643
42,E Washingtn,0.714,0.625
43,Rhode Island,0.714,0.571
44,Temple,0.71,0.533
45,VCU,0.71,0.667
46,LSU,0.71,0.643
47,Butler,0.71,0.6
48,Ohio State,0.71,0.417
49,Cincinnati,0.71,0.538
50,Oklahoma,0.7,0.467
51,S Dakota St,0.7,0.526
52,Georgia St,0.7,0.556
53,Buffalo,0.7,0.588
54,TX El Paso,0.7,0.5
55,GA Southern,0.692,0.571
56,Georgetown,0.69,0.538
57,Yale,0.69,0.684
58,Bowling Grn,0.69,0.643
59,Coastal Car,0.69,0.611
60,N Dakota St,0.69,0.526
61,St Marys,0.69,0.583
62,Wyoming,0.69,0.417
63,St Fran (NY),0.688,0.647
64,High Point,0.679,0.611
65,Providence,0.677,0.571
66,Stony Brook,0.677,0.556
67,N Carolina,0.677,0.688
68,Iowa,0.677,0.538
69,Belmont,0.677,0.556
70,Michigan St,0.677,0.6
71,Northeastrn,0.676,0.636
72,Georgia,0.667,0.571
73,Chattanooga,0.667,0.467
74,Texas A&M,0.667,0.5
75,Kent State,0.667,0.6
76,St Johns,0.667,0.5
77,Rider,0.656,0.579
78,Fla Gulf Cst,0.655,0.562
79,N Mex State,0.655,0.429
80,Miami (FL),0.645,0.667
81,Mississippi,0.645,0.733
82,Purdue,0.645,0.429
83,N Florida,0.645,0.55
84,Geo Wshgtn,0.645,0.471
85,Alabama St,0.64,0.6
86,SC Upstate,0.633,0.562
87,Sac State,0.63,0.4
88,Illinois St,0.625,0.611
89,Radford,0.621,0.529
90,Texas,0.613,0.462
91,TX Southern,0.613,0.476
92,NC State,0.613,0.455
93,Xavier,0.613,0.4
94,Richmond,0.613,0.357
95,Toledo,0.613,0.562
96,UCLA,0.613,0.214
97,Indiana,0.613,0.333
98,Illinois,0.613,0.333
99,W Kentucky,0.607,0.429
100,E Kentucky,0.607,0.5
101,Hofstra,0.606,0.632
102,W Michigan,0.6,0.412
103,Lafayette,0.6,0.562
104,Wm & Mary,0.6,0.444
105,Evansville,0.6,0.533
106,Hawaii,0.6,0.462
107,Stanford,0.6,0.357
108,Vanderbilt,0.6,0.385
109,Manhattan,0.594,0.476
110,James Mad,0.594,0.538
111,Charl South,0.593,0.4
112,LA Monroe,0.593,0.5
113,Montana,0.593,0.467
114,N Hampshire,0.586,0.438
115,Norfolk St,0.586,0.5
116,St Bonavent,0.586,0.6
117,Oklahoma St,0.586,0.429
118,Utah State,0.586,0.5
119,Incarnate Word,0.583,0.467
120,Maryland ES,0.581,0.524
121,Pittsburgh,0.581,0.286
122,Memphis,0.581,0.462
123,Akron,0.581,0.286
124,Syracuse,0.581,0.385
125,E Michigan,0.571,0.308
126,UC Irvine,0.571,0.471
127,LA Lafayette,0.571,0.438
128,TN Martin,0.571,0.5
129,TX A&M-CC,0.571,0.438
130,UCSB,0.571,0.375
131,Alabama,0.567,0.385
132,Pepperdine,0.567,0.5
133,Loyola-Chi,0.567,0.588
134,Vermont,0.567,0.4
135,N Arizona,0.567,0.389
136,Connecticut,0.567,0.438
137,NC-Wilmgton,0.567,0.421
138,Rob Morris,0.562,0.5
139,Bucknell,0.562,0.412
140,NJIT,0.56,0.4
141,NW State,0.56,0.429
142,Winthrop,0.552,0.444
143,Oregon St,0.552,0.154
144,Arizona St,0.548,0.154
145,California,0.548,0.462
146,U Mass,0.548,0.438
147,TX Christian,0.548,0.333
148,Monmouth,0.545,0.556
149,Cleveland St,0.533,0.312
150,Seton Hall,0.533,0.4
151,Oral Roberts,0.533,0.368
152,Washington,0.533,0.533
153,Canisius,0.533,0.438
154,UNLV,0.533,0.333
155,Clemson,0.533,0.385
156,Minnesota,0.533,0.308
157,Gard-Webb,0.533,0.4
158,American,0.531,0.429
159,TX-Arlington,0.517,0.438
160,Grand Canyon,0.517,0.364
161,E Illinois,0.517,0.444
162,Lehigh,0.517,0.5
163,Florida St,0.516,0.308
164,Penn State,0.516,0.4
165,Bryant,0.516,0.412
166,La Salle,0.516,0.375
167,Mercer,0.516,0.368
168,Dartmouth,0.5,0.375
169,Portland St,0.5,0.4
170,UAB,0.5,0.214
171,Tennessee,0.5,0.429
172,St Fran (PA),0.5,0.316
173,Portland,0.5,0.471
174,Quinnipiac,0.5,0.385
175,E Tenn St,0.5,0.375
176,Princeton,0.5,0.267
177,New Mexico,0.5,0.333
178,Middle Tenn,0.5,0.25
179,Mt St Marys,0.5,0.353
180,Florida,0.484,0.267
181,South Dakota,0.484,0.45
182,Northwestern,0.484,0.308
183,Kansas St,0.484,0.2
184,S Carolina,0.483,0.357
185,Michigan,0.483,0.25
186,Tulane,0.483,0.5
187,Army,0.483,0.467
188,N Colorado,0.481,0.214
189,IPFW,0.481,0.4
190,St Peters,0.471,0.429
191,Colgate,0.469,0.333
192,Morehead St,0.469,0.476
193,Colorado,0.467,0.214
194,Indiana St,0.467,0.333
195,Oakland,0.467,0.25
196,Delaware St,0.467,0.476
197,Lg Beach St,0.467,0.3
198,San Diego,0.467,0.333
199,Howard,0.464,0.35
200,Seattle,0.462,0.182
201,Charlotte,0.452,0.389
202,Sacred Hrt,0.452,0.294
203,Florida Intl,0.448,0.368
204,Holy Cross,0.448,0.25
205,Southern,0.448,0.368
206,N Illinois,0.448,0.267
207,Hartford,0.448,0.438
208,Fresno St,0.448,0.235
209,Columbia,0.444,0.333
210,TX-San Ant,0.444,0.5
211,St Josephs,0.433,0.188
212,Wash State,0.433,0.312
213,Prairie View,0.433,0.333
214,Hampton,0.433,0.368
215,W Carolina,0.433,0.4
216,Nebraska,0.433,0.214
217,NC-Asheville,0.429,0.412
218,North Texas,0.429,0.231
219,UC Riverside,0.429,0.133
220,WI-Milwkee,0.429,0.25
221,Lamar,0.423,0.188
222,Cal Poly,0.423,0.353
223,Detroit,0.419,0.294
224,San Fransco,0.419,0.375
225,Texas Tech,0.419,0
226,Wake Forest,0.419,0.154
227,Creighton,0.419,0.286
228,Elon,0.419,0.368
229,Cornell,0.414,0.294
230,AR Lit Rock,0.414,0.286
231,App State,0.414,0.294
232,Boston U,0.414,0.312
233,Air Force,0.407,0.154
234,Weber State,0.407,0.333
235,Idaho,0.407,0.133
236,Denver,0.4,0.214
237,GA Tech,0.4,0.333
238,Santa Clara,0.4,0.294
239,LIU-Brooklyn,0.4,0.353
240,McNeese St,0.4,0.231
241,Miss State,0.4,0.286
242,Boston Col,0.4,0.231
243,Marquette,0.4,0.231
244,Houston,0.4,0.231
245,Massachusetts Lowell,0.393,0.333
246,Lipscomb,0.393,0.222
247,SE Missouri,0.393,0.25
248,N Kentucky,0.393,0.267
249,Central FL,0.393,0.182
250,Neb Omaha,0.393,0.312
251,Miami (OH),0.387,0.2
252,Navy,0.387,0.312
253,Samford,0.387,0.278
254,DePaul,0.387,0.2
255,Texas State,0.385,0.286
256,SIU Edward,0.385,0.071
257,Drexel,0.379,0.375
258,UMKC,0.379,0.222
259,E Carolina,0.379,0.133
260,Brown,0.379,0.25
261,Ark Pine Bl,0.375,0.304
262,Loyola-MD,0.367,0.235
263,USC,0.367,0.214
264,Auburn,0.367,0.214
265,Arkansas St,0.357,0.4
266,TN Tech,0.357,0.125
267,Duquesne,0.357,0.154
268,CS Bakersfld,0.357,0.235
269,Towson,0.355,0.421
270,Jackson St,0.355,0.263
271,Siena,0.355,0.353
272,Jksnville St,0.345,0.059
273,S Illinois,0.344,0.222
274,Ohio,0.333,0.133
275,U Penn,0.333,0.286
276,Houston Bap,0.333,0.133
277,Saint Louis,0.333,0.154
278,Delaware,0.333,0.294
279,Rice,0.333,0.267
280,Utah Val St,0.333,0.188
281,Rutgers,0.323,0.267
282,IUPUI,0.323,0.278
283,VA Tech,0.323,0.077
284,Pacific,0.321,0.312
285,S Utah,0.321,0.294
286,VA Military,0.321,0.294
287,Marshall,0.31,0.071
288,Beth-Cook,0.31,0.294
289,Wagner,0.31,0.118
290,Missouri St,0.31,0.125
